,s,seed,method,time,F_score,loss,estimation_error,sparsity
0,5,1,foba_gdt,29.22706236699014,0.8888888888888888,0.011588278226554394,0.7422969197308296,4
1,5,1,omp,12.33610304199101,0.8888888888888888,0.011588274501264095,0.742296973045068,4
2,5,2,foba_gdt,24.94706012500683,0.8888888888888888,0.011085686273872852,0.7496994939322065,4
3,5,2,omp,11.407393499001046,0.8888888888888888,0.011085683479905128,0.7496863201686736,4
4,5,3,foba_gdt,25.69259905999934,0.8333333333333334,0.010295094922184944,0.7586041434949061,7
5,5,3,omp,9.507247102999827,0.7142857142857143,0.010195332579314709,0.7608151016622557,9
6,5,4,foba_gdt,29.126998910986003,1.0,0.011723403818905354,0.7422576332567006,5
7,5,4,omp,5.91390773600142,1.0,0.011723412200808525,0.7422625457277605,5
8,5,5,foba_gdt,29.429021996009396,0.8888888888888888,0.011232791468501091,0.7509896279597769,4
9,5,5,omp,7.086862263997318,0.8888888888888888,0.011232780292630196,0.7509896292852871,4
10,5,6,foba_gdt,36.49105069199868,0.75,0.012325937859714031,0.7404338371578933,3
11,5,6,omp,6.35168823999993,0.6,0.011807779781520367,0.74956286681539,5
12,5,7,foba_gdt,36.833765237999614,0.8888888888888888,0.010992352850735188,0.7493407485107157,4
13,5,7,omp,5.981545444999938,0.8888888888888888,0.010992353782057762,0.749339405479477,4
14,5,8,foba_gdt,26.93681275799463,0.7692307692307693,0.01139511913061142,0.749253888682134,8
15,5,8,omp,7.828986962995259,0.6666666666666666,0.011274746619164944,0.7515052723762443,10
16,5,9,foba_gdt,30.101621912996052,0.7272727272727273,0.012617556378245354,0.7390523214573637,6
17,5,9,omp,8.512544862998766,0.8,0.012763998471200466,0.7359598359969066,5
18,5,10,foba_gdt,24.998039154001162,0.8888888888888888,0.012169728055596352,0.737070303016697,4
19,5,10,omp,11.09609516999626,0.8888888888888888,0.012169728055596352,0.7370622557980292,4
20,5,11,foba_gdt,23.918383705997257,0.75,0.015173361636698246,0.7395587405056049,3
21,5,11,omp,8.411504443996819,0.7272727272727273,0.012902519665658474,0.7453282457890287,6
22,5,12,foba_gdt,25.292286159994546,0.75,0.011436188593506813,0.7470337527124984,3
23,5,12,omp,11.264050305006094,0.75,0.011436189524829388,0.7470338211169987,3
24,5,13,foba_gdt,29.263639985001646,0.8888888888888888,0.014469042420387268,0.730064090843014,4
25,5,13,omp,8.240190937009174,0.8888888888888888,0.014469044283032417,0.730075824331614,4
26,5,14,foba_gdt,31.017675638009678,0.8888888888888888,0.011238864623010159,0.7472377177744878,4
27,5,14,omp,8.279108242000802,0.8888888888888888,0.011238870210945606,0.7472373582611758,4
28,5,15,foba_gdt,29.30659601300431,0.75,0.012416848912835121,0.7414397287436368,3
29,5,15,omp,13.177286189005827,0.75,0.012416848912835121,0.7414404998316881,3
30,5,16,foba_gdt,25.20464707398787,0.8888888888888888,0.011263030581176281,0.7455262232244873,4
31,5,16,omp,11.976933854006347,0.8888888888888888,0.011263027787208557,0.7455262372548039,4
32,5,17,foba_gdt,26.156141283994657,0.8888888888888888,0.011920713819563389,0.7401723060253487,4
33,5,17,omp,8.294376495992765,0.8,0.011774963699281216,0.7430192743786673,5
34,5,18,foba_gdt,25.2522005320061,0.8333333333333334,0.012274402193725109,0.7406565110293257,7
35,5,18,omp,7.050306411008933,0.8888888888888888,0.012788869440555573,0.7354009605897739,4
36,5,19,foba_gdt,24.65807554399362,1.0,0.010829250328242779,0.7506188132490832,5
37,5,19,omp,10.165850385004887,1.0,0.010829254984855652,0.750617260813037,5
38,5,20,foba_gdt,32.013147394987755,0.8888888888888888,0.012533171102404594,0.7362948292317798,4
39,5,20,omp,5.591429647000041,0.8888888888888888,0.01253317017108202,0.7362951918320289,4
40,5,21,foba_gdt,28.270022716998938,0.75,0.012438595294952393,0.7392583047613369,3
41,5,21,omp,7.949002267996548,0.75,0.01243858877569437,0.7392667117115024,3
42,5,22,foba_gdt,28.208939294010634,0.7692307692307693,0.01282432395964861,0.7379862629931095,8
43,5,22,omp,8.609948815996177,0.5555555555555556,0.012348348274827003,0.7461364982693214,13
44,5,23,foba_gdt,29.5618120690051,0.75,0.012578871101140976,0.7481149287215596,3
45,5,23,omp,8.391654543986078,0.75,0.012578872963786125,0.7480915465778446,3
46,5,24,foba_gdt,27.962961295997957,1.0,0.011664065532386303,0.7421413988063369,5
47,5,24,omp,11.24001280000084,0.9090909090909091,0.011540033854544163,0.7439414694157808,6
48,5,25,foba_gdt,24.577013300004182,1.0,0.011750271543860435,0.7411947731262595,5
49,5,25,omp,8.919635341997491,1.0,0.01175027247518301,0.7411948070507361,5
50,5,26,foba_gdt,25.31121683899255,1.0,0.011709644459187984,0.744628473061653,5
51,5,26,omp,8.002197413996328,1.0,0.011709644459187984,0.7446461945519782,5
52,5,27,foba_gdt,29.111711577992537,1.0,0.011833668686449528,0.7398612911614026,5
53,5,27,omp,9.39399847900495,1.0,0.011833676137030125,0.7399131195293609,5
54,5,28,foba_gdt,25.655626261999714,0.8333333333333334,0.011372950859367847,0.7505527957210861,7
55,5,28,omp,9.25435545000073,0.8888888888888888,0.011924776248633862,0.7441817990168772,4
56,5,29,foba_gdt,26.106620709993877,0.8888888888888888,0.011402569711208344,0.7452633928169716,4
57,5,29,omp,6.3687120959948516,0.8888888888888888,0.011402564123272896,0.745266946393772,4
58,5,30,foba_gdt,33.893885187993874,1.0,0.012182149104773998,0.739174424999826,5
59,5,30,omp,8.183115759995417,1.0,0.01218215562403202,0.7391958319196449,5
