method,success,s,type,seed
IHT,1,12,flat,3351
HTP,1,12,flat,3351
HTP',1,12,flat,3351
IHT,1,11,gaussian,3163
HTP,1,11,gaussian,3163
HTP',1,11,gaussian,3163
IHT,1,9,linear,2606
HTP,1,9,linear,2606
HTP',1,9,linear,2606
IHT,0,13,gaussian,3720
HTP,1,13,gaussian,3720
HTP',1,13,gaussian,3720
IHT,1,1,gaussian,196
HTP,1,1,gaussian,196
HTP',1,1,gaussian,196
IHT,1,5,linear,1490
HTP,1,5,linear,1490
HTP',1,5,linear,1490
IHT,1,2,linear,563
HTP,1,2,linear,563
HTP',1,2,linear,563
IHT,1,3,gaussian,746
HTP,1,3,gaussian,746
HTP',1,3,gaussian,746
IHT,1,4,linear,1118
HTP,1,4,linear,1118
HTP',1,4,linear,1118
IHT,0,12,linear,3536
HTP,1,12,linear,3536
HTP',1,12,linear,3536
IHT,1,1,gaussian,197
HTP,1,1,gaussian,197
HTP',1,1,gaussian,197
IHT,1,15,flat,4280
HTP,1,15,flat,4280
HTP',1,15,flat,4280
IHT,1,4,flat,932
HTP,1,4,flat,932
HTP',1,4,flat,932
IHT,1,2,flat,376
HTP,1,2,flat,376
HTP',1,2,flat,376
IHT,1,10,linear,2978
HTP,1,10,linear,2978
HTP',1,10,linear,2978
IHT,1,2,flat,377
HTP,1,2,flat,377
HTP',1,2,flat,377
IHT,1,6,gaussian,1676
HTP,1,6,gaussian,1676
HTP',1,6,gaussian,1676
IHT,1,3,gaussian,747
HTP,1,3,gaussian,747
HTP',1,3,gaussian,747
IHT,1,5,gaussian,1305
HTP,1,5,gaussian,1305
HTP',1,5,gaussian,1305
IHT,0,14,gaussian,4093
HTP,1,14,gaussian,4093
HTP',1,14,gaussian,4093
IHT,1,7,linear,2049
HTP,1,7,linear,2049
HTP',1,7,linear,2049
IHT,1,8,gaussian,2235
HTP,1,8,gaussian,2235
HTP',1,8,gaussian,2235
IHT,0,15,linear,4465
HTP,1,15,linear,4465
HTP',1,15,linear,4465
IHT,0,14,flat,3908
HTP,1,14,flat,3908
HTP',1,14,flat,3908
IHT,1,10,flat,2792
HTP,1,10,flat,2792
HTP',1,10,flat,2792
IHT,1,13,gaussian,3721
HTP,1,13,gaussian,3721
HTP',1,13,gaussian,3721
IHT,1,12,flat,3352
HTP,1,12,flat,3352
HTP',1,12,flat,3352
IHT,1,7,flat,1863
HTP,1,7,flat,1863
HTP',1,7,flat,1863
IHT,1,1,flat,10
HTP,1,1,flat,10
HTP',1,1,flat,10
IHT,1,9,flat,2421
HTP,1,9,flat,2421
HTP',1,9,flat,2421
IHT,0,23,linear,6883
HTP,1,23,linear,6883
HTP',1,23,linear,6883
IHT,1,1,flat,11
HTP,1,1,flat,11
HTP',1,1,flat,11
IHT,1,2,linear,564
HTP,1,2,linear,564
HTP',1,2,linear,564
IHT,1,5,linear,1491
HTP,1,5,linear,1491
HTP',1,5,linear,1491
IHT,1,1,gaussian,198
HTP,1,1,gaussian,198
HTP',1,1,gaussian,198
IHT,1,9,linear,2607
HTP,1,9,linear,2607
HTP',1,9,linear,2607
IHT,1,1,gaussian,199
HTP,1,1,gaussian,199
HTP',1,1,gaussian,199
IHT,1,9,flat,2422
HTP,1,9,flat,2422
HTP',1,9,flat,2422
IHT,1,10,linear,2979
HTP,1,10,linear,2979
HTP',1,10,linear,2979
IHT,1,2,linear,565
HTP,1,2,linear,565
HTP',1,2,linear,565
IHT,1,4,linear,1119
HTP,1,4,linear,1119
HTP',1,4,linear,1119
IHT,1,4,flat,933
HTP,1,4,flat,933
HTP',1,4,flat,933
IHT,1,1,linear,200
HTP,1,1,linear,200
HTP',1,1,linear,200
IHT,1,11,gaussian,3164
HTP,1,11,gaussian,3164
HTP',1,11,gaussian,3164
IHT,1,2,flat,378
HTP,1,2,flat,378
HTP',1,2,flat,378
IHT,0,25,flat,7255
HTP,1,25,flat,7255
HTP',1,25,flat,7255
IHT,1,12,flat,3353
HTP,1,12,flat,3353
HTP',1,12,flat,3353
IHT,1,15,flat,4281
HTP,1,15,flat,4281
HTP',1,15,flat,4281
IHT,1,6,gaussian,1677
HTP,1,6,gaussian,1677
HTP',1,6,gaussian,1677
IHT,1,3,gaussian,748
HTP,1,3,gaussian,748
HTP',1,3,gaussian,748
IHT,1,5,gaussian,1306
HTP,1,5,gaussian,1306
HTP',1,5,gaussian,1306
IHT,1,1,linear,201
HTP,1,1,linear,201
HTP',1,1,linear,201
IHT,1,9,flat,2423
HTP,1,9,flat,2423
HTP',1,9,flat,2423
IHT,1,7,flat,1864
HTP,1,7,flat,1864
HTP',1,7,flat,1864
IHT,1,7,linear,2050
HTP,1,7,linear,2050
HTP',1,7,linear,2050
IHT,1,10,flat,2793
HTP,1,10,flat,2793
HTP',1,10,flat,2793
IHT,1,2,flat,379
HTP,1,2,flat,379
HTP',1,2,flat,379
IHT,1,1,linear,202
HTP,1,1,linear,202
HTP',1,1,linear,202
IHT,0,12,linear,3537
HTP,1,12,linear,3537
HTP',1,12,linear,3537
IHT,1,14,flat,3909
HTP,1,14,flat,3909
HTP',1,14,flat,3909
IHT,1,9,flat,2424
HTP,1,9,flat,2424
HTP',1,9,flat,2424
IHT,1,1,flat,12
HTP,1,1,flat,12
HTP',1,1,flat,12
IHT,1,13,gaussian,3722
HTP,1,13,gaussian,3722
HTP',1,13,gaussian,3722
IHT,1,5,linear,1492
