method,success,s,type,seed
HTP',1,37,gaussian,10972
IHT,0,44,gaussian,13036
HTP,1,44,gaussian,13036
HTP',0,44,gaussian,13036
IHT,1,14,flat,3918
HTP,1,14,flat,3918
HTP',1,14,flat,3918
IHT,0,42,flat,12304
HTP,0,42,flat,12304
HTP',0,42,flat,12304
IHT,0,39,gaussian,11581
HTP,1,39,gaussian,11581
HTP',1,39,gaussian,11581
IHT,0,41,gaussian,12118
HTP,1,41,gaussian,12118
HTP',1,41,gaussian,12118
IHT,0,43,flat,12673
HTP,0,43,flat,12673
HTP',1,43,flat,12673
IHT,0,39,flat,11400
HTP,1,39,flat,11400
HTP',1,39,flat,11400
IHT,0,42,gaussian,12487
HTP,1,42,gaussian,12487
HTP',1,42,gaussian,12487
IHT,0,38,flat,11152
HTP,0,38,flat,11152
HTP',0,38,flat,11152
IHT,0,38,gaussian,11215
HTP,1,38,gaussian,11215
HTP',1,38,gaussian,11215
IHT,0,43,linear,12851
HTP,1,43,linear,12851
HTP',1,43,linear,12851
IHT,1,14,flat,3919
HTP,1,14,flat,3919
HTP',1,14,flat,3919
IHT,0,45,flat,13220
HTP,1,45,flat,13220
HTP',0,45,flat,13220
IHT,0,44,gaussian,13037
HTP,1,44,gaussian,13037
HTP',1,44,gaussian,13037
IHT,0,40,flat,11757
HTP,1,40,flat,11757
HTP',1,40,flat,11757
IHT,0,37,gaussian,10973
HTP,1,37,gaussian,10973
HTP',1,37,gaussian,10973
IHT,0,39,flat,11401
HTP,0,39,flat,11401
HTP',0,39,flat,11401
IHT,1,14,flat,3920
HTP,1,14,flat,3920
HTP',1,14,flat,3920
IHT,0,39,gaussian,11582
HTP,1,39,gaussian,11582
HTP',1,39,gaussian,11582
IHT,0,41,gaussian,12119
HTP,1,41,gaussian,12119
HTP',1,41,gaussian,12119
IHT,0,42,gaussian,12488
HTP,1,42,gaussian,12488
HTP',1,42,gaussian,12488
IHT,0,42,flat,12305
HTP,0,42,flat,12305
HTP',1,42,flat,12305
IHT,0,38,gaussian,11216
HTP,1,38,gaussian,11216
HTP',1,38,gaussian,11216
IHT,0,45,flat,13221
HTP,0,45,flat,13221
HTP',0,45,flat,13221
IHT,0,38,flat,11153
HTP,1,38,flat,11153
HTP',1,38,flat,11153
IHT,0,43,flat,12674
HTP,0,43,flat,12674
HTP',1,43,flat,12674
IHT,0,44,gaussian,13038
HTP,1,44,gaussian,13038
HTP',1,44,gaussian,13038
IHT,0,40,flat,11758
HTP,0,40,flat,11758
HTP',0,40,flat,11758
IHT,0,43,linear,12852
HTP,1,43,linear,12852
HTP',1,43,linear,12852
IHT,0,45,gaussian,13392
HTP,1,45,gaussian,13392
HTP',1,45,gaussian,13392
IHT,0,45,flat,13222
HTP,1,45,flat,13222
HTP',1,45,flat,13222
IHT,0,38,flat,11154
HTP,0,38,flat,11154
HTP',0,38,flat,11154
IHT,0,42,gaussian,12489
HTP,1,42,gaussian,12489
HTP',1,42,gaussian,12489
IHT,0,41,gaussian,12120
HTP,1,41,gaussian,12120
HTP',1,41,gaussian,12120
IHT,0,39,flat,11402
HTP,0,39,flat,11402
HTP',1,39,flat,11402
IHT,0,43,flat,12675
HTP,0,43,flat,12675
HTP',1,43,flat,12675
IHT,0,45,gaussian,13393
HTP,1,45,gaussian,13393
HTP',1,45,gaussian,13393
IHT,0,39,gaussian,11583
HTP,1,39,gaussian,11583
HTP',1,39,gaussian,11583
IHT,0,42,flat,12306
HTP,0,42,flat,12306
HTP',1,42,flat,12306
IHT,0,44,gaussian,13039
HTP,1,44,gaussian,13039
HTP',1,44,gaussian,13039
IHT,0,45,flat,13223
HTP,0,45,flat,13223
HTP',0,45,flat,13223
IHT,0,43,linear,12853
HTP,1,43,linear,12853
HTP',1,43,linear,12853
IHT,0,38,flat,11155
HTP,1,38,flat,11155
HTP',1,38,flat,11155
IHT,0,38,gaussian,11217
HTP,1,38,gaussian,11217
HTP',1,38,gaussian,11217
IHT,0,42,gaussian,12490
HTP,1,42,gaussian,12490
HTP',1,42,gaussian,12490
IHT,0,40,flat,11759
HTP,1,40,flat,11759
HTP',1,40,flat,11759
IHT,0,41,gaussian,12121
HTP,1,41,gaussian,12121
HTP',1,41,gaussian,12121
IHT,0,45,flat,13224
HTP,0,45,flat,13224
HTP',0,45,flat,13224
IHT,0,39,flat,11403
HTP,1,39,flat,11403
HTP',0,39,flat,11403
IHT,0,42,flat,12307
HTP,0,42,flat,12307
HTP',0,42,flat,12307
IHT,0,39,gaussian,11584
HTP,1,39,gaussian,11584
HTP',1,39,gaussian,11584
IHT,0,43,linear,12854
HTP,1,43,linear,12854
HTP',1,43,linear,12854
IHT,0,45,gaussian,13394
HTP,1,45,gaussian,13394
HTP',1,45,gaussian,13394
IHT,0,43,flat,12676
HTP,0,43,flat,12676
HTP',1,43,flat,12676
IHT,0,44,gaussian,13040
HTP,1,44,gaussian,13040
HTP',1,44,gaussian,13040
IHT,0,38,flat,11156
HTP,1,38,flat,11156
HTP',1,38,flat,11156
IHT,0,45,flat,13225
HTP,0,45,flat,13225
HTP',0,45,flat,13225
IHT,0,40,flat,11760
HTP,1,40,flat,11760
HTP',0,40,flat,11760
IHT,0,43,flat,12677
HTP,0,43,flat,12677
HTP',0,43,flat,12677
IHT,0,41,gaussian,12122
HTP,1,41,gaussian,12122
HTP',1,41,gaussian,12122
IHT,0,42,gaussian,12491
HTP,1,42,gaussian,12491
HTP',1,42,gaussian,12491
IHT,0,45,gaussian,13395
HTP,1,45,gaussian,13395
HTP',1,45,gaussian,13395
IHT,0,44,gaussian,13041
HTP,1,44,gaussian,13041
HTP',1,44,gaussian,13041
IHT,0,39,flat,11404
HTP,1,39,flat,11404
HTP',0,39,flat,11404
IHT,0,38,gaussian,11218
HTP,1,38,gaussian,11218
HTP',1,38,gaussian,11218
IHT,0,39,gaussian,11585
HTP,1,39,gaussian,11585
HTP',1,39,gaussian,11585
IHT,0,42,flat,12308
HTP,0,42,flat,12308
HTP',0,42,flat,12308
IHT,0,43,linear,12855
HTP,1,43,linear,12855
HTP',1,43,linear,12855
IHT,0,38,flat,11157
HTP,1,38,flat,11157
HTP',0,38,flat,11157
IHT,0,43,flat,12678
HTP,0,43,flat,12678
HTP',0,43,flat,12678
IHT,0,45,flat,13226
HTP,1,45,flat,13226
HTP',0,45,flat,13226
IHT,0,44,gaussian,13042
HTP,1,44,gaussian,13042
HTP',1,44,gaussian,13042
IHT,0,41,gaussian,12123
HTP,1,41,gaussian,12123
HTP',1,41,gaussian,12123
IHT,0,42,gaussian,12492
HTP,1,42,gaussian,12492
HTP',1,42,gaussian,12492
IHT,0,45,gaussian,13396
HTP,1,45,gaussian,13396
HTP',1,45,gaussian,13396
IHT,0,43,flat,12679
HTP,0,43,flat,12679
HTP',0,43,flat,12679
IHT,0,38,flat,11158
HTP,0,38,flat,11158
HTP',1,38,flat,11158
IHT,0,43,linear,12856
HTP,1,43,linear,12856
HTP',1,43,linear,12856
IHT,0,39,gaussian,11586
HTP,1,39,gaussian,11586
HTP',1,39,gaussian,11586
IHT,0,40,flat,11761
HTP,1,40,flat,11761
HTP',1,40,flat,11761
IHT,0,42,gaussian,12493
HTP,1,42,gaussian,12493
HTP',1,42,gaussian,12493
IHT,0,38,gaussian,11219
HTP,1,38,gaussian,11219
HTP',1,38,gaussian,11219
IHT,0,43,flat,12680
HTP,1,43,flat,12680
HTP',0,43,flat,12680
IHT,0,41,gaussian,12124
HTP,1,41,gaussian,12124
HTP',1,41,gaussian,12124
IHT,0,42,flat,12309
HTP,1,42,flat,12309
HTP',1,42,flat,12309
IHT,0,43,linear,12857
HTP,1,43,linear,12857
HTP',1,43,linear,12857
IHT,0,44,gaussian,13043
HTP,1,44,gaussian,13043
HTP',1,44,gaussian,13043
IHT,0,38,flat,11159
HTP,1,38,flat,11159
HTP',1,38,flat,11159
IHT,0,45,gaussian,13397
HTP,1,45,gaussian,13397
HTP',1,45,gaussian,13397
IHT,0,14,flat,3921
HTP,1,14,flat,3921
HTP',1,14,flat,3921
IHT,0,39,gaussian,11587
HTP,1,39,gaussian,11587
HTP',1,39,gaussian,11587
IHT,0,40,flat,11762
HTP,1,40,flat,11762
HTP',0,40,flat,11762
IHT,0,41,gaussian,12125
HTP,1,41,gaussian,12125
HTP',1,41,gaussian,12125
IHT,0,43,flat,12681
HTP,1,43,flat,12681
HTP',1,43,flat,12681
IHT,0,42,gaussian,12494
HTP,1,42,gaussian,12494
HTP',1,42,gaussian,12494
IHT,1,14,flat,3922
HTP,1,14,flat,3922
HTP',1,14,flat,3922
IHT,0,38,gaussian,11220
HTP,1,38,gaussian,11220
HTP',1,38,gaussian,11220
IHT,0,43,linear,12858
HTP,1,43,linear,12858
HTP',1,43,linear,12858
IHT,0,42,flat,12310
HTP,0,42,flat,12310
HTP',1,42,flat,12310
IHT,0,40,flat,11763
HTP,1,40,flat,11763
HTP',1,40,flat,11763
IHT,0,39,flat,11405
HTP,0,39,flat,11405
HTP',1,39,flat,11405
IHT,0,39,gaussian,11588
HTP,1,39,gaussian,11588
HTP',1,39,gaussian,11588
IHT,0,41,gaussian,12126
HTP,1,41,gaussian,12126
HTP',0,41,gaussian,12126
IHT,1,14,flat,3923
HTP,1,14,flat,3923
HTP',1,14,flat,3923
IHT,0,45,flat,13227
HTP,0,45,flat,13227
HTP',0,45,flat,13227
IHT,0,46,flat,13578
HTP,0,46,flat,13578
HTP',1,46,flat,13578
IHT,0,45,gaussian,13398
HTP,1,45,gaussian,13398
HTP',1,45,gaussian,13398
IHT,0,38,gaussian,11221
HTP,1,38,gaussian,11221
HTP',1,38,gaussian,11221
IHT,0,42,gaussian,12495
HTP,1,42,gaussian,12495
HTP',1,42,gaussian,12495
IHT,0,43,flat,12682
HTP,0,43,flat,12682
HTP',0,43,flat,12682
IHT,0,44,gaussian,13044
HTP,1,44,gaussian,13044
HTP',1,44,gaussian,13044
IHT,1,14,flat,3924
HTP,1,14,flat,3924
HTP',1,14,flat,3924
IHT,0,42,flat,12311
HTP,0,42,flat,12311
HTP',0,42,flat,12311
IHT,0,40,flat,11764
HTP,0,40,flat,11764
HTP',1,40,flat,11764
IHT,0,38,gaussian,11222
HTP,1,38,gaussian,11222
HTP',1,38,gaussian,11222
IHT,0,39,flat,11406
HTP,0,39,flat,11406
HTP',1,39,flat,11406
IHT,0,43,linear,12859
HTP,1,43,linear,12859
HTP',1,43,linear,12859
IHT,1,14,flat,3925
HTP,1,14,flat,3925
HTP',1,14,flat,3925
IHT,0,42,gaussian,12496
HTP,1,42,gaussian,12496
HTP',1,42,gaussian,12496
IHT,0,41,gaussian,12127
HTP,1,41,gaussian,12127
HTP',1,41,gaussian,12127
IHT,0,46,flat,13579
HTP,0,46,flat,13579
HTP',0,46,flat,13579
IHT,0,43,flat,12683
HTP,1,43,flat,12683
HTP',1,43,flat,12683
IHT,0,44,gaussian,13045
HTP,1,44,gaussian,13045
HTP',1,44,gaussian,13045
IHT,0,45,flat,13228
HTP,0,45,flat,13228
HTP',0,45,flat,13228
IHT,1,14,flat,3926
HTP,1,14,flat,3926
HTP',1,14,flat,3926
IHT,0,39,gaussian,11589
HTP,1,39,gaussian,11589
HTP',1,39,gaussian,11589
IHT,0,45,gaussian,13399
HTP,1,45,gaussian,13399
HTP',1,45,gaussian,13399
IHT,0,40,flat,11765
HTP,0,40,flat,11765
HTP',0,40,flat,11765
IHT,0,43,linear,12860
HTP,1,43,linear,12860
HTP',1,43,linear,12860
IHT,0,42,flat,12312
HTP,0,42,flat,12312
HTP',1,42,flat,12312
IHT,0,44,gaussian,13046
HTP,1,44,gaussian,13046
HTP',1,44,gaussian,13046
IHT,0,39,flat,11407
HTP,1,39,flat,11407
HTP',1,39,flat,11407
IHT,1,14,flat,3927
HTP,1,14,flat,3927
HTP',1,14,flat,3927
IHT,0,38,gaussian,11223
HTP,1,38,gaussian,11223
HTP',1,38,gaussian,11223
IHT,0,46,flat,13580
HTP,0,46,flat,13580
HTP',0,46,flat,13580
IHT,0,39,gaussian,11590
HTP,1,39,gaussian,11590
HTP',1,39,gaussian,11590
IHT,0,42,gaussian,12497
HTP,1,42,gaussian,12497
HTP',1,42,gaussian,12497
IHT,0,41,gaussian,12128
HTP,1,41,gaussian,12128
HTP',1,41,gaussian,12128
IHT,0,45,flat,13229
HTP,0,45,flat,13229
HTP',0,45,flat,13229
IHT,1,14,flat,3928
HTP,1,14,flat,3928
HTP',1,14,flat,3928
IHT,0,42,flat,12313
HTP,1,42,flat,12313
HTP',0,42,flat,12313
IHT,0,40,flat,11766
HTP,0,40,flat,11766
HTP',1,40,flat,11766
IHT,0,43,flat,12684
HTP,1,43,flat,12684
HTP',1,43,flat,12684
IHT,0,45,linear,13400
HTP,1,45,linear,13400
HTP',1,45,linear,13400
IHT,0,38,gaussian,11224
HTP,1,38,gaussian,11224
HTP',1,38,gaussian,11224
IHT,0,43,linear,12861
HTP,1,43,linear,12861
HTP',1,43,linear,12861
IHT,1,14,flat,3929
HTP,1,14,flat,3929
HTP',1,14,flat,3929
IHT,0,46,flat,13581
HTP,0,46,flat,13581
HTP',0,46,flat,13581
IHT,0,44,gaussian,13047
HTP,1,44,gaussian,13047
HTP',1,44,gaussian,13047
IHT,0,45,flat,13230
HTP,1,45,flat,13230
HTP',1,45,flat,13230
IHT,0,39,flat,11408
HTP,1,39,flat,11408
HTP',1,39,flat,11408
IHT,0,43,flat,12685
HTP,0,43,flat,12685
HTP',1,43,flat,12685
IHT,0,42,flat,12314
HTP,0,42,flat,12314
HTP',0,42,flat,12314
IHT,0,41,gaussian,12129
HTP,1,41,gaussian,12129
HTP',1,41,gaussian,12129
IHT,0,42,gaussian,12498
HTP,1,42,gaussian,12498
HTP',1,42,gaussian,12498
IHT,1,14,flat,3930
HTP,1,14,flat,3930
HTP',1,14,flat,3930
IHT,0,45,linear,13401
HTP,1,45,linear,13401
HTP',1,45,linear,13401
IHT,0,39,gaussian,11591
HTP,1,39,gaussian,11591
HTP',1,39,gaussian,11591
IHT,0,46,flat,13582
HTP,0,46,flat,13582
HTP',0,46,flat,13582
IHT,0,40,flat,11767
HTP,1,40,flat,11767
HTP',1,40,flat,11767
IHT,0,43,linear,12862
HTP,1,43,linear,12862
HTP',1,43,linear,12862
IHT,0,45,flat,13231
HTP,0,45,flat,13231
HTP',0,45,flat,13231
IHT,0,38,gaussian,11225
HTP,1,38,gaussian,11225
HTP',1,38,gaussian,11225
IHT,0,44,gaussian,13048
HTP,1,44,gaussian,13048
HTP',1,44,gaussian,13048
IHT,0,46,flat,13583
HTP,0,46,flat,13583
HTP',0,46,flat,13583
IHT,0,42,flat,12315
HTP,0,42,flat,12315
HTP',1,42,flat,12315
IHT,0,41,gaussian,12130
HTP,1,41,gaussian,12130
HTP',1,41,gaussian,12130
IHT,0,39,flat,11409
HTP,0,39,flat,11409
HTP',1,39,flat,11409
IHT,0,40,flat,11768
HTP,0,40,flat,11768
HTP',0,40,flat,11768
IHT,0,43,flat,12686
HTP,0,43,flat,12686
HTP',1,43,flat,12686
IHT,0,45,flat,13232
HTP,0,45,flat,13232
HTP',1,45,flat,13232
IHT,0,45,linear,13402
HTP,1,45,linear,13402
HTP',1,45,linear,13402
IHT,0,42,gaussian,12499
HTP,1,42,gaussian,12499
HTP',1,42,gaussian,12499
IHT,0,46,flat,13584
HTP,0,46,flat,13584
HTP',0,46,flat,13584
IHT,0,38,gaussian,11226
HTP,1,38,gaussian,11226
HTP',1,38,gaussian,11226
IHT,0,43,flat,12687
HTP,0,43,flat,12687
HTP',0,43,flat,12687
IHT,0,43,linear,12863
HTP,1,43,linear,12863
HTP',1,43,linear,12863
IHT,0,39,gaussian,11592
HTP,1,39,gaussian,11592
HTP',1,39,gaussian,11592
IHT,0,39,flat,11410
HTP,1,39,flat,11410
HTP',1,39,flat,11410
IHT,0,40,flat,11769
HTP,1,40,flat,11769
HTP',1,40,flat,11769
IHT,0,45,flat,13233
HTP,1,45,flat,13233
HTP',1,45,flat,13233
IHT,0,42,flat,12316
HTP,0,42,flat,12316
HTP',1,42,flat,12316
IHT,0,43,flat,12688
HTP,0,43,flat,12688
HTP',0,43,flat,12688
IHT,0,45,linear,13403
HTP,1,45,linear,13403
HTP',1,45,linear,13403
IHT,0,42,linear,12500
HTP,1,42,linear,12500
HTP',1,42,linear,12500
IHT,0,46,flat,13585
HTP,0,46,flat,13585
HTP',0,46,flat,13585
IHT,0,39,gaussian,11593
HTP,1,39,gaussian,11593
HTP',1,39,gaussian,11593
IHT,0,41,gaussian,12131
HTP,1,41,gaussian,12131
HTP',1,41,gaussian,12131
IHT,0,38,gaussian,11227
HTP,1,38,gaussian,11227
HTP',1,38,gaussian,11227
IHT,0,43,flat,12689
HTP,0,43,flat,12689
HTP',0,43,flat,12689
IHT,0,43,linear,12864
HTP,1,43,linear,12864
HTP',1,43,linear,12864
IHT,0,39,flat,11411
HTP,1,39,flat,11411
HTP',0,39,flat,11411
IHT,0,41,gaussian,12132
HTP,1,41,gaussian,12132
HTP',1,41,gaussian,12132
IHT,0,45,flat,13234
HTP,0,45,flat,13234
HTP',0,45,flat,13234
IHT,0,46,flat,13586
HTP,1,46,flat,13586
HTP',0,46,flat,13586
IHT,0,40,flat,11770
HTP,1,40,flat,11770
HTP',1,40,flat,11770
IHT,0,42,linear,12501
HTP,1,42,linear,12501
HTP',1,42,linear,12501
IHT,0,45,linear,13404
HTP,1,45,linear,13404
HTP',1,45,linear,13404
IHT,0,42,flat,12317
HTP,1,42,flat,12317
HTP',1,42,flat,12317
IHT,0,39,gaussian,11594
HTP,1,39,gaussian,11594
HTP',1,39,gaussian,11594
IHT,0,38,gaussian,11228
HTP,1,38,gaussian,11228
HTP',1,38,gaussian,11228
IHT,0,39,flat,11412
HTP,0,39,flat,11412
HTP',0,39,flat,11412
IHT,0,46,flat,13587
HTP,0,46,flat,13587
HTP',0,46,flat,13587
IHT,0,43,linear,12865
HTP,1,43,linear,12865
HTP',1,43,linear,12865
IHT,0,41,gaussian,12133
HTP,1,41,gaussian,12133
HTP',1,41,gaussian,12133
IHT,0,42,flat,12318
HTP,0,42,flat,12318
HTP',0,42,flat,12318
IHT,0,40,flat,11771
HTP,1,40,flat,11771
HTP',1,40,flat,11771
IHT,0,42,linear,12502
HTP,1,42,linear,12502
HTP',1,42,linear,12502
IHT,0,45,flat,13235
HTP,1,45,flat,13235
HTP',1,45,flat,13235
IHT,0,44,gaussian,13049
HTP,1,44,gaussian,13049
HTP',1,44,gaussian,13049
IHT,0,45,linear,13405
HTP,1,45,linear,13405
HTP',1,45,linear,13405
IHT,0,38,gaussian,11229
HTP,1,38,gaussian,11229
HTP',1,38,gaussian,11229
IHT,0,46,flat,13588
HTP,0,46,flat,13588
HTP',0,46,flat,13588
IHT,0,39,gaussian,11595
HTP,1,39,gaussian,11595
HTP',1,39,gaussian,11595
IHT,0,39,flat,11413
HTP,1,39,flat,11413
HTP',1,39,flat,11413
IHT,0,41,gaussian,12134
HTP,1,41,gaussian,12134
HTP',1,41,gaussian,12134
IHT,0,43,linear,12866
HTP,1,43,linear,12866
HTP',1,43,linear,12866
IHT,0,42,flat,12319
HTP,1,42,flat,12319
HTP',1,42,flat,12319
IHT,0,46,flat,13589
HTP,0,46,flat,13589
HTP',0,46,flat,13589
IHT,0,42,linear,12503
HTP,1,42,linear,12503
HTP',1,42,linear,12503
IHT,0,40,flat,11772
HTP,0,40,flat,11772
HTP',1,40,flat,11772
IHT,0,39,flat,11414
HTP,1,39,flat,11414
HTP',1,39,flat,11414
IHT,0,38,gaussian,11230
HTP,1,38,gaussian,11230
HTP',1,38,gaussian,11230
IHT,0,45,linear,13406
HTP,1,45,linear,13406
HTP',1,45,linear,13406
IHT,0,39,gaussian,11596
HTP,1,39,gaussian,11596
HTP',1,39,gaussian,11596
IHT,0,44,gaussian,13050
HTP,1,44,gaussian,13050
HTP',1,44,gaussian,13050
IHT,0,43,flat,12690
HTP,0,43,flat,12690
HTP',0,43,flat,12690
IHT,0,42,flat,12320
HTP,1,42,flat,12320
HTP',0,42,flat,12320
IHT,0,43,linear,12867
HTP,1,43,linear,12867
HTP',1,43,linear,12867
IHT,0,46,flat,13590
HTP,0,46,flat,13590
HTP',0,46,flat,13590
IHT,0,41,gaussian,12135
HTP,1,41,gaussian,12135
HTP',1,41,gaussian,12135
IHT,0,42,linear,12504
HTP,1,42,linear,12504
HTP',1,42,linear,12504
IHT,0,43,flat,12691
HTP,0,43,flat,12691
HTP',0,43,flat,12691
IHT,0,38,gaussian,11231
HTP,1,38,gaussian,11231
HTP',1,38,gaussian,11231
IHT,0,46,flat,13591
HTP,0,46,flat,13591
HTP',0,46,flat,13591
IHT,0,39,gaussian,11597
HTP,1,39,gaussian,11597
HTP',1,39,gaussian,11597
IHT,0,40,flat,11773
HTP,1,40,flat,11773
HTP',1,40,flat,11773
IHT,0,43,linear,12868
HTP,1,43,linear,12868
HTP',0,43,linear,12868
IHT,0,39,flat,11415
HTP,1,39,flat,11415
HTP',1,39,flat,11415
IHT,0,45,linear,13407
HTP,1,45,linear,13407
HTP',1,45,linear,13407
IHT,0,44,gaussian,13051
HTP,1,44,gaussian,13051
HTP',1,44,gaussian,13051
IHT,0,45,flat,13236
HTP,0,45,flat,13236
HTP',0,45,flat,13236
IHT,0,42,flat,12321
HTP,1,42,flat,12321
HTP',1,42,flat,12321
IHT,0,43,flat,12692
HTP,0,43,flat,12692
HTP',0,43,flat,12692
IHT,0,41,gaussian,12136
HTP,1,41,gaussian,12136
HTP',1,41,gaussian,12136
IHT,0,40,flat,11774
HTP,0,40,flat,11774
HTP',0,40,flat,11774
IHT,0,42,linear,12505
HTP,1,42,linear,12505
HTP',1,42,linear,12505
IHT,0,46,flat,13592
HTP,0,46,flat,13592
HTP',0,46,flat,13592
IHT,0,38,gaussian,11232
HTP,1,38,gaussian,11232
HTP',1,38,gaussian,11232
IHT,0,39,gaussian,11598
HTP,1,39,gaussian,11598
HTP',1,39,gaussian,11598
IHT,0,44,gaussian,13052
HTP,1,44,gaussian,13052
HTP',1,44,gaussian,13052
IHT,0,39,flat,11416
HTP,1,39,flat,11416
HTP',1,39,flat,11416
IHT,0,43,linear,12869
HTP,1,43,linear,12869
HTP',1,43,linear,12869
IHT,0,42,flat,12322
HTP,1,42,flat,12322
HTP',0,42,flat,12322
IHT,0,45,flat,13237
HTP,0,45,flat,13237
HTP',0,45,flat,13237
IHT,0,45,linear,13408
HTP,1,45,linear,13408
HTP',1,45,linear,13408
IHT,0,43,flat,12693
HTP,1,43,flat,12693
HTP',1,43,flat,12693
IHT,0,41,gaussian,12137
HTP,1,41,gaussian,12137
HTP',1,41,gaussian,12137
IHT,0,44,gaussian,13053
HTP,1,44,gaussian,13053
HTP',1,44,gaussian,13053
IHT,0,46,flat,13593
HTP,0,46,flat,13593
HTP',0,46,flat,13593
IHT,0,45,flat,13238
HTP,0,45,flat,13238
HTP',0,45,flat,13238
IHT,0,39,flat,11417
HTP,0,39,flat,11417
HTP',0,39,flat,11417
IHT,0,38,gaussian,11233
HTP,1,38,gaussian,11233
HTP',1,38,gaussian,11233
IHT,0,40,flat,11775
HTP,0,40,flat,11775
HTP',1,40,flat,11775
IHT,0,42,linear,12506
HTP,1,42,linear,12506
HTP',1,42,linear,12506
IHT,0,39,gaussian,11599
HTP,1,39,gaussian,11599
HTP',1,39,gaussian,11599
IHT,0,43,linear,12870
HTP,1,43,linear,12870
HTP',1,43,linear,12870
IHT,0,45,linear,13409
HTP,1,45,linear,13409
HTP',1,45,linear,13409
IHT,0,41,gaussian,12138
HTP,1,41,gaussian,12138
HTP',1,41,gaussian,12138
IHT,0,44,gaussian,13054
HTP,1,44,gaussian,13054
HTP',1,44,gaussian,13054
IHT,0,45,flat,13239
HTP,0,45,flat,13239
HTP',0,45,flat,13239
IHT,0,43,flat,12694
HTP,0,43,flat,12694
HTP',1,43,flat,12694
IHT,0,42,flat,12323
HTP,1,42,flat,12323
HTP',1,42,flat,12323
IHT,0,46,flat,13594
HTP,0,46,flat,13594
HTP',1,46,flat,13594
IHT,0,40,flat,11776
HTP,1,40,flat,11776
HTP',0,40,flat,11776
IHT,0,43,linear,12871
HTP,1,43,linear,12871
HTP',1,43,linear,12871
IHT,0,42,linear,12507
HTP,1,42,linear,12507
HTP',1,42,linear,12507
IHT,0,38,gaussian,11234
HTP,1,38,gaussian,11234
HTP',1,38,gaussian,11234
IHT,0,39,linear,11600
HTP,1,39,linear,11600
HTP',1,39,linear,11600
IHT,0,39,flat,11418
HTP,1,39,flat,11418
HTP',1,39,flat,11418
IHT,0,45,linear,13410
HTP,1,45,linear,13410
HTP',1,45,linear,13410
IHT,0,43,flat,12695
HTP,0,43,flat,12695
HTP',0,43,flat,12695
IHT,0,44,gaussian,13055
HTP,1,44,gaussian,13055
HTP',1,44,gaussian,13055
IHT,0,41,gaussian,12139
HTP,1,41,gaussian,12139
HTP',1,41,gaussian,12139
IHT,0,45,flat,13240
HTP,1,45,flat,13240
HTP',1,45,flat,13240
IHT,0,42,linear,12508
HTP,1,42,linear,12508
HTP',1,42,linear,12508
IHT,0,39,linear,11601
HTP,1,39,linear,11601
HTP',1,39,linear,11601
IHT,0,38,gaussian,11235
HTP,1,38,gaussian,11235
HTP',1,38,gaussian,11235
IHT,0,46,flat,13595
HTP,1,46,flat,13595
HTP',1,46,flat,13595
IHT,0,40,flat,11777
HTP,1,40,flat,11777
HTP',1,40,flat,11777
IHT,0,42,flat,12324
HTP,1,42,flat,12324
HTP',1,42,flat,12324
IHT,0,45,linear,13411
HTP,1,45,linear,13411
HTP',1,45,linear,13411
IHT,0,45,flat,13241
HTP,0,45,flat,13241
HTP',0,45,flat,13241
IHT,0,43,flat,12696
HTP,0,43,flat,12696
HTP',0,43,flat,12696
IHT,0,43,linear,12872
HTP,1,43,linear,12872
HTP',1,43,linear,12872
IHT,0,44,gaussian,13056
HTP,1,44,gaussian,13056
HTP',1,44,gaussian,13056
IHT,0,39,flat,11419
HTP,1,39,flat,11419
HTP',1,39,flat,11419
IHT,0,41,gaussian,12140
HTP,1,41,gaussian,12140
HTP',1,41,gaussian,12140
IHT,0,39,linear,11602
HTP,1,39,linear,11602
HTP',1,39,linear,11602
IHT,0,42,linear,12509
HTP,1,42,linear,12509
HTP',1,42,linear,12509
IHT,0,45,flat,13242
HTP,1,45,flat,13242
HTP',0,45,flat,13242
IHT,0,46,flat,13596
HTP,0,46,flat,13596
HTP',0,46,flat,13596
IHT,0,40,flat,11778
HTP,1,40,flat,11778
HTP',1,40,flat,11778
IHT,0,42,flat,12325
HTP,0,42,flat,12325
HTP',0,42,flat,12325
IHT,0,39,linear,11603
HTP,1,39,linear,11603
HTP',1,39,linear,11603
IHT,0,44,gaussian,13057
HTP,1,44,gaussian,13057
HTP',1,44,gaussian,13057
IHT,0,38,gaussian,11236
HTP,1,38,gaussian,11236
HTP',1,38,gaussian,11236
IHT,0,45,linear,13412
HTP,1,45,linear,13412
HTP',1,45,linear,13412
IHT,0,41,gaussian,12141
HTP,1,41,gaussian,12141
HTP',0,41,gaussian,12141
IHT,0,43,flat,12697
HTP,1,43,flat,12697
HTP',1,43,flat,12697
IHT,0,45,flat,13243
HTP,0,45,flat,13243
HTP',0,45,flat,13243
IHT,0,39,flat,11420
HTP,0,39,flat,11420
HTP',0,39,flat,11420
IHT,0,43,linear,12873
HTP,1,43,linear,12873
HTP',1,43,linear,12873
IHT,0,46,flat,13597
HTP,0,46,flat,13597
HTP',0,46,flat,13597
IHT,0,42,linear,12510
HTP,1,42,linear,12510
HTP',1,42,linear,12510
IHT,0,43,flat,12698
HTP,0,43,flat,12698
HTP',0,43,flat,12698
IHT,0,41,gaussian,12142
HTP,1,41,gaussian,12142
